date,species,sample_ID,frag_ID,light_dark,run_block,SA_cm2,umol.cm2.hr,chamber_channel,Temp.C,umol.cm2.hr_uncorr,Light_level,Light_value
2026-03-04,PCOM,A03_BF_PI,A03,LIGHT,RUN1,10,0.31660615364194034,11,24.197684210526315,0.2990185327539985,7,613
2026-03-04,MCAP,B05_BF_PI,B05,LIGHT,RUN1,15,1.699530658304581,12,24.101710526315788,1.6878055777126197,7,613
2026-03-04,MCAP,B15_BF_PI,B15,LIGHT,RUN1,18,1.1666083209357063,1,24.229170731707317,1.16109187471352,8,705
2026-03-04,PCOM,A13_BF_PI,A13,LIGHT,RUN1,13,0.3971941117648094,2,24.10278048780488,0.3895559554571667,8,705
2026-03-04,PCOM,A15_BF_PI,A15,LIGHT,RUN1,15,0.6048795172848137,4,24.162243902439023,0.5982597818181898,8,705
2026-03-04,MCAP,B04_BF_PI,B04,LIGHT,RUN1,18,1.2044870616936902,5,24.08490243902439,1.1989706154715039,8,705
2026-03-04,PCOM,A08_BF_PI,A08,LIGHT,RUN1,15,0.32275410068401467,6,24.138243902439022,0.3161343652173911,8,705
2026-03-04,PCOM,A02_BF_PI,A02,LIGHT,RUN1,20,0.8631568687791109,7,24.266853658536583,0.8581920671791433,8,705
2026-03-04,MCAP,B03_BF_PI,B03,LIGHT,RUN1,20,1.41457936530654,8,24.286292682926828,1.409614563706572,8,705
2026-03-04,MCAP,B16_BF_PI,B16,LIGHT,RUN1,15,0.8384481138449935,9,24.20760975609756,0.8318283783783699,8,705
2026-03-04,PCOM,A03_BF_PI,A03,LIGHT,RUN1,10,0.3061802449111725,11,24.311951219512196,0.29625064171123705,8,705
2026-03-04,MCAP,B05_BF_PI,B05,LIGHT,RUN1,15,1.7115702837291757,12,24.22680487804878,1.704950548262552,8,705
