sample_ID,NOTES,genotype,treatment,rep_number_tank,coral_species,sp,tank,Timepoint,DNA
A11_1_6SP,,A11,6SP,1,Porites compressa,PCOM,TANK24,T1,
A12_1_6SP,,A12,6SP,1,Porites compressa,PCOM,TANK24,T1,
B09_1_6SP,,B09,6SP,1,Montipora capitata,MCAP,TANK24,T1,
B10_1_6SP,,B10,6SP,1,Montipora capitata,MCAP,TANK24,T1,
B11_1_6SP,,B11,6SP,1,Montipora capitata,MCAP,TANK24,T1,
B12_1_6SP,,B12,6SP,1,Montipora capitata,MCAP,TANK24,T1,
C09_1_6SP,,C09,6SP,1,Pocillopora meandrina,PMEA,TANK24,T1,
C10_1_6SP,,C10,6SP,1,Pocillopora meandrina,PMEA,TANK24,T1,
C11_1_6SP,,C11,6SP,1,Pocillopora meandrina,PMEA,TANK24,T1,
C12_1_6SP,,C12,6SP,1,Pocillopora meandrina,PMEA,TANK24,T1,
D09_1_6SP,,D09,6SP,1,Pavona varians,PVAR,TANK24,T1,
D10_1_6SP,,D10,6SP,1,Pavona varians,PVAR,TANK24,T1,
D11_1_6SP,,D11,6SP,1,Pavona varians,PVAR,TANK24,T1,
D12_1_6SP,,D12,6SP,1,Pavona varians,PVAR,TANK24,T1,
E09_1_6SP,,E09,6SP,1,Leptastrea purpurea,LPUR,TANK24,T1,
E10_1_6SP,,E10,6SP,1,Leptastrea purpurea,LPUR,TANK24,T1,
E11_1_6SP,,E11,6SP,1,Leptastrea purpurea,LPUR,TANK24,T1,
E12_1_6SP,,E12,6SP,1,Leptastrea purpurea,LPUR,TANK24,T1,
F09_1_6SP,,F09,6SP,1,Porites evermanni,PEVE,TANK24,T1,
F10_1_6SP,,F10,6SP,1,Porites evermanni,PEVE,TANK24,T1,
F11_1_6SP,,F11,6SP,1,Porites evermanni,PEVE,TANK24,T1,
F12_1_6SP,,F12,6SP,1,Porites evermanni,PEVE,TANK24,T1,
,,,,,,,,,
A05_1_6SP,DEAD,A05,6SP,1,Porites compressa,PCOM,TANK16,T1,
A06_1_6SP,DEAD,A06,6SP,1,Porites compressa,PCOM,TANK16,T1,
A07_1_6SP,DEAD,A07,6SP,1,Porites compressa,PCOM,TANK16,T1,
